game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020471,2021-03-18,1,0,0,0,1,1,1,0,C,11362,0,825,1,0,160,2,1113,0,1001,1,0,188,2,1201,1,1097,0,0,66,2,1163,1,802,1,0,442,4,1306,0,871,0,4,246,1,1170,1,771,0,0,343,3,1234,0,733,0,0,484,3,1262,0,1016,1,0,88,3,1122,1,555,0,0,336,1,943,1,720,1,2,54,2,882,0,17,9,10,28,03,35,1,10,8,16,45,03,13,1,6,11,9,49,03,24,0,10,8,14,16,03,9,1,10,13,28,59,03,88,1,7,5,20,29,03,13,1,6,8,10,38,03,37,1,8,2,16,41,03,17,0,8,5,5,35,03,34,0,4,8,7,31,03,9,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21
2020020286,2021-03-16,0,0,0,1,0,1,1,2,C,11360,0,1001,1,0,188,2,1201,1,1097,0,0,66,2,1163,1,802,1,0,442,4,1306,0,871,0,4,246,1,1170,1,771,0,0,343,3,1234,0,733,0,0,484,3,1262,0,1016,1,0,88,3,1122,1,555,0,0,336,1,943,1,720,1,2,54,2,882,0,675,0,0,304,0,1014,1,6,11,9,49,03,24,0,10,8,14,16,03,9,1,10,13,28,59,03,88,1,7,5,20,29,03,13,1,6,8,10,38,03,37,1,8,2,16,41,03,17,0,8,5,5,35,03,34,0,4,8,7,31,03,9,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19
2020020448,2021-03-15,1,0,0,1,0,1,1,2,C,11359,1,1097,0,0,66,2,1163,1,802,1,0,442,4,1306,0,871,0,4,246,1,1170,1,771,0,0,343,3,1234,0,733,0,0,484,3,1262,0,1016,1,0,88,3,1122,1,555,0,0,336,1,943,1,720,1,2,54,2,882,0,675,0,0,304,0,1014,0,870,0,0,56,3,991,1,10,13,28,59,03,88,1,7,5,20,29,03,13,1,6,8,10,38,03,37,1,8,2,16,41,03,17,0,8,5,5,35,03,34,0,4,8,7,31,03,9,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22
2020020434,2021-03-13,1,0,0,1,0,1,1,2,C,11357,1,802,1,0,442,4,1306,0,871,0,4,246,1,1170,1,771,0,0,343,3,1234,0,733,0,0,484,3,1262,0,1016,1,0,88,3,1122,1,555,0,0,336,1,943,1,720,1,2,54,2,882,0,675,0,0,304,0,1014,0,870,0,0,56,3,991,1,796,1,2,267,1,1079,1,6,8,10,38,03,37,1,8,2,16,41,03,17,0,8,5,5,35,03,34,0,4,8,7,31,03,9,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8
2020020421,2021-03-11,0,1,1,1,0,0,0,4,C,11355,0,871,0,4,246,1,1170,1,771,0,0,343,3,1234,0,733,0,0,484,3,1262,0,1016,1,0,88,3,1122,1,555,0,0,336,1,943,1,720,1,2,54,2,882,0,675,0,0,304,0,1014,0,870,0,0,56,3,991,1,796,1,2,267,1,1079,0,933,0,0,67,1,1000,0,8,5,5,35,03,34,0,4,8,7,31,03,9,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26
2020020407,2021-03-09,0,0,0,0,1,1,1,1,C,11353,1,771,0,0,343,3,1234,0,733,0,0,484,3,1262,0,1016,1,0,88,3,1122,1,555,0,0,336,1,943,1,720,1,2,54,2,882,0,675,0,0,304,0,1014,0,870,0,0,56,3,991,1,796,1,2,267,1,1079,0,933,0,0,67,1,1000,0,958,1,0,286,2,1250,0,6,2,8,34,03,22,0,8,7,18,35,03,14,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25
2020020394,2021-03-07,0,0,1,1,0,0,1,3,C,11351,0,733,0,0,484,3,1262,0,1016,1,0,88,3,1122,1,555,0,0,336,1,943,1,720,1,2,54,2,882,0,675,0,0,304,0,1014,0,870,0,0,56,3,991,1,796,1,2,267,1,1079,0,933,0,0,67,1,1000,0,958,1,0,286,2,1250,1,648,2,0,205,4,928,1,14,8,7,45,03,25,1,8,9,18,41,03,20,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15
2020020376,2021-03-05,0,0,1,1,0,0,1,3,C,11349,0,1016,1,0,88,3,1122,1,555,0,0,336,1,943,1,720,1,2,54,2,882,0,675,0,0,304,0,1014,0,870,0,0,56,3,991,1,796,1,2,267,1,1079,0,933,0,0,67,1,1000,0,958,1,0,286,2,1250,1,648,2,0,205,4,928,0,755,1,2,237,5,1084,1,8,11,9,39,03,37,0,6,10,21,38,03,24,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10
2020020367,2021-03-04,0,0,1,1,0,0,1,3,C,11348,1,555,0,0,336,1,943,1,720,1,2,54,2,882,0,675,0,0,304,0,1014,0,870,0,0,56,3,991,1,796,1,2,267,1,1079,0,933,0,0,67,1,1000,0,958,1,0,286,2,1250,1,648,2,0,205,4,928,0,755,1,2,237,5,1084,0,911,0,0,238,5,1149,1,8,5,15,43,03,40,0,4,12,16,48,03,21,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21
2020020271,2021-03-02,0,0,0,0,1,1,1,1,C,11346,1,720,1,2,54,2,882,0,675,0,0,304,0,1014,0,870,0,0,56,3,991,1,796,1,2,267,1,1079,0,933,0,0,67,1,1000,0,958,1,0,286,2,1250,1,648,2,0,205,4,928,0,755,1,2,237,5,1084,0,911,0,0,238,5,1149,1,828,0,0,255,1,1116,0,13,5,10,40,03,31,0,18,7,15,60,03,21,0,13,12,11,45,03,26,1,10,6,3,56,03,19,1,8,5,12,56,03,35,1,12,7,17,47,03,22,1,12,13,20,34,03,34,0,38,7,16,45,03,8,1,28,7,18,44,03,21,1,20,7,12,45,03,26,0,41,3,9,62,03,37,0,8,5,19,38,03,25,0,8,4,11,48,03,36,0,8,18,19,49,03,15,1,6,12,26,70,03,37,0,14,10,14,47,03,10,0,4,8,14,40,03,48,1,8,12,10,55,03,21,1,16,2,10,56,03,36,1,10,15,21,43,03,17
