game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020443,2021-03-14,0,1,1,1,0,0,0,6,R,8714,1,1005,0,0,165,1,1309,1,1325,1,0,65,5,1467,1,1189,0,0,153,5,1450,0,1139,0,0,105,5,1291,0,1223,0,0,134,1,1391,1,926,0,0,204,1,1130,1,880,0,0,218,1,1253,1,1088,1,0,24,3,1112,0,1030,0,0,278,5,1358,0,834,0,2,629,2,1601,1,10,3,11,18,03,39,1,14,6,16,39,03,12,0,6,6,12,19,03,36,0,4,6,12,21,03,18,0,13,6,17,20,03,53,0,9,7,24,30,03,21,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18
2020020438,2021-03-13,1,0,0,0,1,1,1,1,R,8713,1,1325,1,0,65,5,1467,1,1189,0,0,153,5,1450,0,1139,0,0,105,5,1291,0,1223,0,0,134,1,1391,1,926,0,0,204,1,1130,1,880,0,0,218,1,1253,1,1088,1,0,24,3,1112,0,1030,0,0,278,5,1358,0,834,0,2,629,2,1601,2,990,1,0,177,1,1229,0,6,6,12,19,03,36,0,4,6,12,21,03,18,0,13,6,17,20,03,53,0,9,7,24,30,03,21,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14
2020020422,2021-03-11,1,1,1,1,0,0,0,5,R,8711,1,1189,0,0,153,5,1450,0,1139,0,0,105,5,1291,0,1223,0,0,134,1,1391,1,926,0,0,204,1,1130,1,880,0,0,218,1,1253,1,1088,1,0,24,3,1112,0,1030,0,0,278,5,1358,0,834,0,2,629,2,1601,2,990,1,0,177,1,1229,3,836,1,0,232,3,1136,0,13,6,17,20,03,53,0,9,7,24,30,03,21,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8
2020020408,2021-03-09,1,1,1,1,0,0,0,5,R,8709,0,1139,0,0,105,5,1291,0,1223,0,0,134,1,1391,1,926,0,0,204,1,1130,1,880,0,0,218,1,1253,1,1088,1,0,24,3,1112,0,1030,0,0,278,5,1358,0,834,0,2,629,2,1601,2,990,1,0,177,1,1229,3,836,1,0,232,3,1136,0,1115,0,2,223,1,1417,1,4,2,14,22,03,33,0,9,13,17,34,03,18,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17
2020020384,2021-03-06,0,1,1,1,0,0,0,5,R,8706,0,1223,0,0,134,1,1391,1,926,0,0,204,1,1130,1,880,0,0,218,1,1253,1,1088,1,0,24,3,1112,0,1030,0,0,278,5,1358,0,834,0,2,629,2,1601,2,990,1,0,177,1,1229,3,836,1,0,232,3,1136,0,1115,0,2,223,1,1417,1,1126,0,0,131,4,1431,1,11,5,9,14,02,34,0,8,3,9,44,03,10,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22
2020020371,2021-03-04,0,0,0,0,1,1,1,1,R,8704,1,926,0,0,204,1,1130,1,880,0,0,218,1,1253,1,1088,1,0,24,3,1112,0,1030,0,0,278,5,1358,0,834,0,2,629,2,1601,2,990,1,0,177,1,1229,3,836,1,0,232,3,1136,0,1115,0,2,223,1,1417,1,1126,0,0,131,4,1431,0,1192,1,0,92,4,1284,0,22,4,6,12,02,23,1,8,7,7,37,03,22,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13
2020020360,2021-03-03,0,0,0,0,1,1,1,1,R,8703,1,880,0,0,218,1,1253,1,1088,1,0,24,3,1112,0,1030,0,0,278,5,1358,0,834,0,2,629,2,1601,2,990,1,0,177,1,1229,3,836,1,0,232,3,1136,0,1115,0,2,223,1,1417,1,1126,0,0,131,4,1431,0,1192,1,0,92,4,1284,0,1018,0,0,216,2,1306,0,10,5,8,15,02,40,1,14,8,20,38,03,26,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10
2020020350,2021-03-01,0,0,0,0,1,1,1,1,R,8701,1,1088,1,0,24,3,1112,0,1030,0,0,278,5,1358,0,834,0,2,629,2,1601,2,990,1,0,177,1,1229,3,836,1,0,232,3,1136,0,1115,0,2,223,1,1417,1,1126,0,0,131,4,1431,0,1192,1,0,92,4,1284,0,1018,0,0,216,2,1306,1,1088,0,0,184,3,1503,1,10,10,12,25,02,38,0,4,8,21,45,03,15,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8
2020020335,2021-02-27,0,0,1,1,0,0,1,3,R,8699,0,1030,0,0,278,5,1358,0,834,0,2,629,2,1601,2,990,1,0,177,1,1229,3,836,1,0,232,3,1136,0,1115,0,2,223,1,1417,1,1126,0,0,131,4,1431,0,1192,1,0,92,4,1284,0,1018,0,0,216,2,1306,1,1088,0,0,184,3,1503,3,921,0,0,328,3,1301,1,6,2,9,20,02,26,1,4,4,14,50,03,9,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18
2020020310,2021-02-24,1,1,1,1,0,0,0,5,R,8696,0,834,0,2,629,2,1601,2,990,1,0,177,1,1229,3,836,1,0,232,3,1136,0,1115,0,2,223,1,1417,1,1126,0,0,131,4,1431,0,1192,1,0,92,4,1284,0,1018,0,0,216,2,1306,1,1088,0,0,184,3,1503,3,921,0,0,328,3,1301,2,874,1,0,199,4,1160,1,4,9,17,26,02,29,0,10,5,11,22,02,18,0,8,9,9,9,02,32,1,8,8,7,16,02,14,0,10,8,9,11,02,21,1,8,5,17,10,02,8,0,14,8,20,24,02,27,0,13,5,9,26,02,17,0,4,8,8,17,02,29,0,14,6,14,23,02,22,1,11,2,6,15,02,37,0,8,2,10,15,02,13,1,8,10,21,16,02,31,0,4,4,7,15,02,10,1,8,6,13,21,02,19,0,6,3,20,15,02,8,0,8,5,18,19,02,24,1,12,7,11,20,02,18,1,0,5,13,16,02,22,1,4,9,18,17,02,10
