game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020462,2021-03-17,1,0,1,1,0,0,1,3,R,9466,1,532,1,0,131,3,983,0,902,0,0,350,1,1326,1,826,0,0,119,3,1000,1,827,0,0,70,1,1106,1,697,0,0,311,1,1088,1,659,1,0,98,1,978,1,906,1,0,141,4,1091,0,829,0,0,139,0,981,0,630,1,0,75,6,856,0,726,0,2,116,2,1089,0,22,7,16,37,03,24,0,14,7,15,42,03,10,1,6,10,11,39,03,38,1,10,7,12,31,03,21,1,18,7,5,24,02,24,1,17,7,13,36,03,13,1,8,13,15,22,02,32,1,14,5,9,34,03,17,1,4,6,19,25,02,50,0,10,4,11,36,03,19,0,4,7,4,40,02,34,0,14,3,9,35,03,14,0,0,7,4,32,02,26,1,6,3,8,34,03,7,0,8,5,1,24,02,30,0,11,5,7,19,02,11,0,10,5,3,16,02,39,0,10,1,5,27,02,7,1,8,6,19,25,02,34,0,10,4,9,46,02,9
2020020430,2021-03-13,0,0,1,1,0,0,1,3,R,9462,0,902,0,0,350,1,1326,1,826,0,0,119,3,1000,1,827,0,0,70,1,1106,1,697,0,0,311,1,1088,1,659,1,0,98,1,978,1,906,1,0,141,4,1091,0,829,0,0,139,0,981,0,630,1,0,75,6,856,0,726,0,2,116,2,1089,2,656,0,0,187,4,1085,1,6,10,11,39,03,38,1,10,7,12,31,03,21,1,18,7,5,24,02,24,1,17,7,13,36,03,13,1,8,13,15,22,02,32,1,14,5,9,34,03,17,1,4,6,19,25,02,50,0,10,4,11,36,03,19,0,4,7,4,40,02,34,0,14,3,9,35,03,14,0,0,7,4,32,02,26,1,6,3,8,34,03,7,0,8,5,1,24,02,30,0,11,5,7,19,02,11,0,10,5,3,16,02,39,0,10,1,5,27,02,7,1,8,6,19,25,02,34,0,10,4,9,46,02,9,1,17,7,8,26,02,24,0,6,2,4,54,02,15
2020020415,2021-03-11,0,0,0,0,1,1,1,1,R,9460,1,826,0,0,119,3,1000,1,827,0,0,70,1,1106,1,697,0,0,311,1,1088,1,659,1,0,98,1,978,1,906,1,0,141,4,1091,0,829,0,0,139,0,981,0,630,1,0,75,6,856,0,726,0,2,116,2,1089,2,656,0,0,187,4,1085,1,715,0,0,159,2,1089,1,18,7,5,24,02,24,1,17,7,13,36,03,13,1,8,13,15,22,02,32,1,14,5,9,34,03,17,1,4,6,19,25,02,50,0,10,4,11,36,03,19,0,4,7,4,40,02,34,0,14,3,9,35,03,14,0,0,7,4,32,02,26,1,6,3,8,34,03,7,0,8,5,1,24,02,30,0,11,5,7,19,02,11,0,10,5,3,16,02,39,0,10,1,5,27,02,7,1,8,6,19,25,02,34,0,10,4,9,46,02,9,1,17,7,8,26,02,24,0,6,2,4,54,02,15,1,17,12,10,20,02,31,1,6,5,7,24,02,11
2020020405,2021-03-09,0,0,1,1,0,0,1,3,R,9458,1,827,0,0,70,1,1106,1,697,0,0,311,1,1088,1,659,1,0,98,1,978,1,906,1,0,141,4,1091,0,829,0,0,139,0,981,0,630,1,0,75,6,856,0,726,0,2,116,2,1089,2,656,0,0,187,4,1085,1,715,0,0,159,2,1089,0,1077,1,0,0,3,1148,1,8,13,15,22,02,32,1,14,5,9,34,03,17,1,4,6,19,25,02,50,0,10,4,11,36,03,19,0,4,7,4,40,02,34,0,14,3,9,35,03,14,0,0,7,4,32,02,26,1,6,3,8,34,03,7,0,8,5,1,24,02,30,0,11,5,7,19,02,11,0,10,5,3,16,02,39,0,10,1,5,27,02,7,1,8,6,19,25,02,34,0,10,4,9,46,02,9,1,17,7,8,26,02,24,0,6,2,4,54,02,15,1,17,12,10,20,02,31,1,6,5,7,24,02,11,1,2,11,12,25,02,30,1,10,3,6,16,02,16
2020020393,2021-03-07,0,0,0,0,1,1,1,1,R,9456,1,697,0,0,311,1,1088,1,659,1,0,98,1,978,1,906,1,0,141,4,1091,0,829,0,0,139,0,981,0,630,1,0,75,6,856,0,726,0,2,116,2,1089,2,656,0,0,187,4,1085,1,715,0,0,159,2,1089,0,1077,1,0,0,3,1148,0,586,0,5,369,0,1234,1,4,6,19,25,02,50,0,10,4,11,36,03,19,0,4,7,4,40,02,34,0,14,3,9,35,03,14,0,0,7,4,32,02,26,1,6,3,8,34,03,7,0,8,5,1,24,02,30,0,11,5,7,19,02,11,0,10,5,3,16,02,39,0,10,1,5,27,02,7,1,8,6,19,25,02,34,0,10,4,9,46,02,9,1,17,7,8,26,02,24,0,6,2,4,54,02,15,1,17,12,10,20,02,31,1,6,5,7,24,02,11,1,2,11,12,25,02,30,1,10,3,6,16,02,16,1,11,7,15,29,02,35,1,6,0,8,14,02,16
2020020374,2021-03-06,0,0,0,0,1,1,1,1,R,9455,1,659,1,0,98,1,978,1,906,1,0,141,4,1091,0,829,0,0,139,0,981,0,630,1,0,75,6,856,0,726,0,2,116,2,1089,2,656,0,0,187,4,1085,1,715,0,0,159,2,1089,0,1077,1,0,0,3,1148,0,586,0,5,369,0,1234,0,1043,0,0,167,1,1296,0,4,7,4,40,02,34,0,14,3,9,35,03,14,0,0,7,4,32,02,26,1,6,3,8,34,03,7,0,8,5,1,24,02,30,0,11,5,7,19,02,11,0,10,5,3,16,02,39,0,10,1,5,27,02,7,1,8,6,19,25,02,34,0,10,4,9,46,02,9,1,17,7,8,26,02,24,0,6,2,4,54,02,15,1,17,12,10,20,02,31,1,6,5,7,24,02,11,1,2,11,12,25,02,30,1,10,3,6,16,02,16,1,11,7,15,29,02,35,1,6,0,8,14,02,16,1,22,16,9,31,02,21,1,6,4,1,15,02,18
2020020180,2021-03-04,0,0,0,0,1,1,1,1,R,9453,1,906,1,0,141,4,1091,0,829,0,0,139,0,981,0,630,1,0,75,6,856,0,726,0,2,116,2,1089,2,656,0,0,187,4,1085,1,715,0,0,159,2,1089,0,1077,1,0,0,3,1148,0,586,0,5,369,0,1234,0,1043,0,0,167,1,1296,0,931,0,0,172,2,1162,0,0,7,4,32,02,26,1,6,3,8,34,03,7,0,8,5,1,24,02,30,0,11,5,7,19,02,11,0,10,5,3,16,02,39,0,10,1,5,27,02,7,1,8,6,19,25,02,34,0,10,4,9,46,02,9,1,17,7,8,26,02,24,0,6,2,4,54,02,15,1,17,12,10,20,02,31,1,6,5,7,24,02,11,1,2,11,12,25,02,30,1,10,3,6,16,02,16,1,11,7,15,29,02,35,1,6,0,8,14,02,16,1,22,16,9,31,02,21,1,6,4,1,15,02,18,1,9,7,10,30,02,39,1,8,11,9,38,02,26
2020020354,2021-03-02,1,1,1,1,0,0,0,4,R,9451,0,829,0,0,139,0,981,0,630,1,0,75,6,856,0,726,0,2,116,2,1089,2,656,0,0,187,4,1085,1,715,0,0,159,2,1089,0,1077,1,0,0,3,1148,0,586,0,5,369,0,1234,0,1043,0,0,167,1,1296,0,931,0,0,172,2,1162,0,716,1,0,0,3,938,0,8,5,1,24,02,30,0,11,5,7,19,02,11,0,10,5,3,16,02,39,0,10,1,5,27,02,7,1,8,6,19,25,02,34,0,10,4,9,46,02,9,1,17,7,8,26,02,24,0,6,2,4,54,02,15,1,17,12,10,20,02,31,1,6,5,7,24,02,11,1,2,11,12,25,02,30,1,10,3,6,16,02,16,1,11,7,15,29,02,35,1,6,0,8,14,02,16,1,22,16,9,31,02,21,1,6,4,1,15,02,18,1,9,7,10,30,02,39,1,8,11,9,38,02,26,0,10,6,10,20,02,33,1,13,9,11,17,02,19
2020020342,2021-02-28,1,0,0,0,1,1,1,0,R,9449,0,630,1,0,75,6,856,0,726,0,2,116,2,1089,2,656,0,0,187,4,1085,1,715,0,0,159,2,1089,0,1077,1,0,0,3,1148,0,586,0,5,369,0,1234,0,1043,0,0,167,1,1296,0,931,0,0,172,2,1162,0,716,1,0,0,3,938,0,716,0,0,265,6,1301,0,10,5,3,16,02,39,0,10,1,5,27,02,7,1,8,6,19,25,02,34,0,10,4,9,46,02,9,1,17,7,8,26,02,24,0,6,2,4,54,02,15,1,17,12,10,20,02,31,1,6,5,7,24,02,11,1,2,11,12,25,02,30,1,10,3,6,16,02,16,1,11,7,15,29,02,35,1,6,0,8,14,02,16,1,22,16,9,31,02,21,1,6,4,1,15,02,18,1,9,7,10,30,02,39,1,8,11,9,38,02,26,0,10,6,10,20,02,33,1,13,9,11,17,02,19,0,8,6,2,12,02,24,1,8,7,9,21,02,13
2020020323,2021-02-26,1,1,1,1,0,0,0,6,R,9447,0,726,0,2,116,2,1089,2,656,0,0,187,4,1085,1,715,0,0,159,2,1089,0,1077,1,0,0,3,1148,0,586,0,5,369,0,1234,0,1043,0,0,167,1,1296,0,931,0,0,172,2,1162,0,716,1,0,0,3,938,0,716,0,0,265,6,1301,1,834,0,0,294,1,1330,1,8,6,19,25,02,34,0,10,4,9,46,02,9,1,17,7,8,26,02,24,0,6,2,4,54,02,15,1,17,12,10,20,02,31,1,6,5,7,24,02,11,1,2,11,12,25,02,30,1,10,3,6,16,02,16,1,11,7,15,29,02,35,1,6,0,8,14,02,16,1,22,16,9,31,02,21,1,6,4,1,15,02,18,1,9,7,10,30,02,39,1,8,11,9,38,02,26,0,10,6,10,20,02,33,1,13,9,11,17,02,19,0,8,6,2,12,02,24,1,8,7,9,21,02,13,0,16,5,10,21,02,27,0,4,4,2,30,02,8
