game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020463,2021-03-17,1,0,1,1,0,0,1,3,L,7853,1,883,0,0,354,6,1237,1,1100,1,0,221,6,1321,0,974,1,0,120,2,1094,0,947,0,2,60,2,1007,0,957,0,0,156,5,1113,1,1039,0,0,194,3,1233,1,721,0,0,347,6,1068,0,997,0,0,241,6,1238,0,973,0,0,99,4,1072,0,814,1,4,326,3,1140,1,8,8,14,30,02,19,1,14,7,16,19,03,13,1,10,11,9,26,02,41,0,22,6,7,21,03,22,1,27,4,17,51,02,29,0,15,4,8,16,03,11,0,11,5,9,29,02,21,0,16,11,13,18,03,18,0,16,6,9,23,02,36,0,19,9,13,27,03,25,0,6,4,4,25,02,43,1,6,6,14,45,03,30,0,15,7,6,36,02,37,1,14,7,19,31,03,13,0,10,1,11,19,02,38,0,4,8,10,38,03,15,0,4,9,13,31,02,25,1,4,9,13,24,03,28,0,15,6,16,33,02,22,0,16,7,18,45,03,21
2020020452,2021-03-15,1,1,1,1,0,0,0,6,L,7851,1,1100,1,0,221,6,1321,0,974,1,0,120,2,1094,0,947,0,2,60,2,1007,0,957,0,0,156,5,1113,1,1039,0,0,194,3,1233,1,721,0,0,347,6,1068,0,997,0,0,241,6,1238,0,973,0,0,99,4,1072,0,814,1,4,326,3,1140,0,1192,0,0,0,6,1192,1,10,11,9,26,02,41,0,22,6,7,21,03,22,1,27,4,17,51,02,29,0,15,4,8,16,03,11,0,11,5,9,29,02,21,0,16,11,13,18,03,18,0,16,6,9,23,02,36,0,19,9,13,27,03,25,0,6,4,4,25,02,43,1,6,6,14,45,03,30,0,15,7,6,36,02,37,1,14,7,19,31,03,13,0,10,1,11,19,02,38,0,4,8,10,38,03,15,0,4,9,13,31,02,25,1,4,9,13,24,03,28,0,15,6,16,33,02,22,0,16,7,18,45,03,21,1,6,5,18,26,02,35,0,10,4,16,31,03,40
2020020443,2021-03-14,1,1,1,1,0,0,0,6,L,7850,0,974,1,0,120,2,1094,0,947,0,2,60,2,1007,0,957,0,0,156,5,1113,1,1039,0,0,194,3,1233,1,721,0,0,347,6,1068,0,997,0,0,241,6,1238,0,973,0,0,99,4,1072,0,814,1,4,326,3,1140,0,1192,0,0,0,6,1192,0,878,2,5,228,4,1106,1,27,4,17,51,02,29,0,15,4,8,16,03,11,0,11,5,9,29,02,21,0,16,11,13,18,03,18,0,16,6,9,23,02,36,0,19,9,13,27,03,25,0,6,4,4,25,02,43,1,6,6,14,45,03,30,0,15,7,6,36,02,37,1,14,7,19,31,03,13,0,10,1,11,19,02,38,0,4,8,10,38,03,15,0,4,9,13,31,02,25,1,4,9,13,24,03,28,0,15,6,16,33,02,22,0,16,7,18,45,03,21,1,6,5,18,26,02,35,0,10,4,16,31,03,40,1,18,5,13,17,02,28,1,18,5,17,30,03,20
2020020426,2021-03-12,0,0,0,1,0,1,1,2,L,7848,0,947,0,2,60,2,1007,0,957,0,0,156,5,1113,1,1039,0,0,194,3,1233,1,721,0,0,347,6,1068,0,997,0,0,241,6,1238,0,973,0,0,99,4,1072,0,814,1,4,326,3,1140,0,1192,0,0,0,6,1192,0,878,2,5,228,4,1106,1,908,1,0,299,8,1211,0,11,5,9,29,02,21,0,16,11,13,18,03,18,0,16,6,9,23,02,36,0,19,9,13,27,03,25,0,6,4,4,25,02,43,1,6,6,14,45,03,30,0,15,7,6,36,02,37,1,14,7,19,31,03,13,0,10,1,11,19,02,38,0,4,8,10,38,03,15,0,4,9,13,31,02,25,1,4,9,13,24,03,28,0,15,6,16,33,02,22,0,16,7,18,45,03,21,1,6,5,18,26,02,35,0,10,4,16,31,03,40,1,18,5,13,17,02,28,1,18,5,17,30,03,20,1,2,4,8,27,02,42,1,4,16,26,47,03,18
2020020410,2021-03-10,0,0,0,1,0,1,1,2,L,7846,0,957,0,0,156,5,1113,1,1039,0,0,194,3,1233,1,721,0,0,347,6,1068,0,997,0,0,241,6,1238,0,973,0,0,99,4,1072,0,814,1,4,326,3,1140,0,1192,0,0,0,6,1192,0,878,2,5,228,4,1106,1,908,1,0,299,8,1211,0,813,0,0,152,2,971,0,16,6,9,23,02,36,0,19,9,13,27,03,25,0,6,4,4,25,02,43,1,6,6,14,45,03,30,0,15,7,6,36,02,37,1,14,7,19,31,03,13,0,10,1,11,19,02,38,0,4,8,10,38,03,15,0,4,9,13,31,02,25,1,4,9,13,24,03,28,0,15,6,16,33,02,22,0,16,7,18,45,03,21,1,6,5,18,26,02,35,0,10,4,16,31,03,40,1,18,5,13,17,02,28,1,18,5,17,30,03,20,1,2,4,8,27,02,42,1,4,16,26,47,03,18,0,4,4,9,22,02,42,0,8,9,22,38,03,22
2020020396,2021-03-08,0,1,1,1,0,0,0,5,L,7844,1,1039,0,0,194,3,1233,1,721,0,0,347,6,1068,0,997,0,0,241,6,1238,0,973,0,0,99,4,1072,0,814,1,4,326,3,1140,0,1192,0,0,0,6,1192,0,878,2,5,228,4,1106,1,908,1,0,299,8,1211,0,813,0,0,152,2,971,0,882,1,0,164,7,1046,0,6,4,4,25,02,43,1,6,6,14,45,03,30,0,15,7,6,36,02,37,1,14,7,19,31,03,13,0,10,1,11,19,02,38,0,4,8,10,38,03,15,0,4,9,13,31,02,25,1,4,9,13,24,03,28,0,15,6,16,33,02,22,0,16,7,18,45,03,21,1,6,5,18,26,02,35,0,10,4,16,31,03,40,1,18,5,13,17,02,28,1,18,5,17,30,03,20,1,2,4,8,27,02,42,1,4,16,26,47,03,18,0,4,4,9,22,02,42,0,8,9,22,38,03,22,0,2,4,16,17,02,29,1,12,7,18,26,03,21
2020020395,2021-03-07,0,0,1,1,0,0,1,3,L,7843,1,721,0,0,347,6,1068,0,997,0,0,241,6,1238,0,973,0,0,99,4,1072,0,814,1,4,326,3,1140,0,1192,0,0,0,6,1192,0,878,2,5,228,4,1106,1,908,1,0,299,8,1211,0,813,0,0,152,2,971,0,882,1,0,164,7,1046,1,849,0,5,155,4,1004,0,15,7,6,36,02,37,1,14,7,19,31,03,13,0,10,1,11,19,02,38,0,4,8,10,38,03,15,0,4,9,13,31,02,25,1,4,9,13,24,03,28,0,15,6,16,33,02,22,0,16,7,18,45,03,21,1,6,5,18,26,02,35,0,10,4,16,31,03,40,1,18,5,13,17,02,28,1,18,5,17,30,03,20,1,2,4,8,27,02,42,1,4,16,26,47,03,18,0,4,4,9,22,02,42,0,8,9,22,38,03,22,0,2,4,16,17,02,29,1,12,7,18,26,03,21,0,9,9,6,25,02,31,0,6,8,14,27,03,30
2020020370,2021-03-04,0,1,1,1,0,0,0,6,L,7840,0,997,0,0,241,6,1238,0,973,0,0,99,4,1072,0,814,1,4,326,3,1140,0,1192,0,0,0,6,1192,0,878,2,5,228,4,1106,1,908,1,0,299,8,1211,0,813,0,0,152,2,971,0,882,1,0,164,7,1046,1,849,0,5,155,4,1004,0,1014,1,0,120,2,1134,0,10,1,11,19,02,38,0,4,8,10,38,03,15,0,4,9,13,31,02,25,1,4,9,13,24,03,28,0,15,6,16,33,02,22,0,16,7,18,45,03,21,1,6,5,18,26,02,35,0,10,4,16,31,03,40,1,18,5,13,17,02,28,1,18,5,17,30,03,20,1,2,4,8,27,02,42,1,4,16,26,47,03,18,0,4,4,9,22,02,42,0,8,9,22,38,03,22,0,2,4,16,17,02,29,1,12,7,18,26,03,21,0,9,9,6,25,02,31,0,6,8,14,27,03,30,0,6,6,8,30,02,28,0,8,5,6,19,02,14
2020020357,2021-03-02,0,1,1,1,0,0,0,6,L,7838,0,973,0,0,99,4,1072,0,814,1,4,326,3,1140,0,1192,0,0,0,6,1192,0,878,2,5,228,4,1106,1,908,1,0,299,8,1211,0,813,0,0,152,2,971,0,882,1,0,164,7,1046,1,849,0,5,155,4,1004,0,1014,1,0,120,2,1134,0,1023,0,0,130,4,1153,0,4,9,13,31,02,25,1,4,9,13,24,03,28,0,15,6,16,33,02,22,0,16,7,18,45,03,21,1,6,5,18,26,02,35,0,10,4,16,31,03,40,1,18,5,13,17,02,28,1,18,5,17,30,03,20,1,2,4,8,27,02,42,1,4,16,26,47,03,18,0,4,4,9,22,02,42,0,8,9,22,38,03,22,0,2,4,16,17,02,29,1,12,7,18,26,03,21,0,9,9,6,25,02,31,0,6,8,14,27,03,30,0,6,6,8,30,02,28,0,8,5,6,19,02,14,0,6,3,14,40,02,37,0,18,11,11,24,02,10
2020020349,2021-03-01,1,1,1,1,0,0,0,4,L,7837,0,814,1,4,326,3,1140,0,1192,0,0,0,6,1192,0,878,2,5,228,4,1106,1,908,1,0,299,8,1211,0,813,0,0,152,2,971,0,882,1,0,164,7,1046,1,849,0,5,155,4,1004,0,1014,1,0,120,2,1134,0,1023,0,0,130,4,1153,1,1124,0,0,163,4,1287,0,15,6,16,33,02,22,0,16,7,18,45,03,21,1,6,5,18,26,02,35,0,10,4,16,31,03,40,1,18,5,13,17,02,28,1,18,5,17,30,03,20,1,2,4,8,27,02,42,1,4,16,26,47,03,18,0,4,4,9,22,02,42,0,8,9,22,38,03,22,0,2,4,16,17,02,29,1,12,7,18,26,03,21,0,9,9,6,25,02,31,0,6,8,14,27,03,30,0,6,6,8,30,02,28,0,8,5,6,19,02,14,0,6,3,14,40,02,37,0,18,11,11,24,02,10,1,8,10,16,27,02,39,0,12,7,9,11,02,11
