game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020468,2021-03-18,0,1,1,1,0,0,0,4,C,13021,1,781,0,2,413,1,1314,0,735,0,0,318,2,1156,0,569,0,2,343,2,1027,1,633,1,0,164,1,909,0,837,0,0,163,6,1072,0,832,0,0,168,5,1133,1,679,1,0,121,2,858,0,1009,0,0,103,1,1144,0,819,0,0,13,0,970,0,636,1,0,210,5,895,1,11,3,11,31,03,27,1,8,2,10,20,03,11,0,10,11,19,24,03,31,0,10,2,9,23,03,17,1,8,8,22,32,03,40,0,4,5,20,35,03,18,1,8,8,17,43,03,35,0,6,8,10,23,02,11,0,10,7,7,33,03,39,0,12,6,5,31,02,11,0,2,3,11,36,03,33,1,8,8,6,33,02,10,1,6,7,10,27,03,27,1,4,2,4,37,02,17,0,8,15,10,37,03,31,1,8,10,11,30,02,10,0,6,5,10,47,03,25,1,4,9,10,33,02,13,1,39,4,7,50,03,24,0,10,4,11,22,02,9
2020020459,2021-03-16,0,0,0,0,1,1,1,1,C,13019,0,735,0,0,318,2,1156,0,569,0,2,343,2,1027,1,633,1,0,164,1,909,0,837,0,0,163,6,1072,0,832,0,0,168,5,1133,1,679,1,0,121,2,858,0,1009,0,0,103,1,1144,0,819,0,0,13,0,970,0,636,1,0,210,5,895,0,907,0,0,118,4,1050,0,10,11,19,24,03,31,0,10,2,9,23,03,17,1,8,8,22,32,03,40,0,4,5,20,35,03,18,1,8,8,17,43,03,35,0,6,8,10,23,02,11,0,10,7,7,33,03,39,0,12,6,5,31,02,11,0,2,3,11,36,03,33,1,8,8,6,33,02,10,1,6,7,10,27,03,27,1,4,2,4,37,02,17,0,8,15,10,37,03,31,1,8,10,11,30,02,10,0,6,5,10,47,03,25,1,4,9,10,33,02,13,1,39,4,7,50,03,24,0,10,4,11,22,02,9,1,16,4,10,38,03,30,0,13,5,8,25,02,13
2020020450,2021-03-15,0,0,0,1,0,1,1,2,C,13018,0,569,0,2,343,2,1027,1,633,1,0,164,1,909,0,837,0,0,163,6,1072,0,832,0,0,168,5,1133,1,679,1,0,121,2,858,0,1009,0,0,103,1,1144,0,819,0,0,13,0,970,0,636,1,0,210,5,895,0,907,0,0,118,4,1050,1,719,0,0,171,1,924,1,8,8,22,32,03,40,0,4,5,20,35,03,18,1,8,8,17,43,03,35,0,6,8,10,23,02,11,0,10,7,7,33,03,39,0,12,6,5,31,02,11,0,2,3,11,36,03,33,1,8,8,6,33,02,10,1,6,7,10,27,03,27,1,4,2,4,37,02,17,0,8,15,10,37,03,31,1,8,10,11,30,02,10,0,6,5,10,47,03,25,1,4,9,10,33,02,13,1,39,4,7,50,03,24,0,10,4,11,22,02,9,1,16,4,10,38,03,30,0,13,5,8,25,02,13,0,8,4,21,53,03,47,0,4,3,9,29,02,12
2020020430,2021-03-13,1,0,0,1,0,1,1,2,C,13016,1,633,1,0,164,1,909,0,837,0,0,163,6,1072,0,832,0,0,168,5,1133,1,679,1,0,121,2,858,0,1009,0,0,103,1,1144,0,819,0,0,13,0,970,0,636,1,0,210,5,895,0,907,0,0,118,4,1050,1,719,0,0,171,1,924,0,914,0,0,166,3,1251,1,8,8,17,43,03,35,0,6,8,10,23,02,11,0,10,7,7,33,03,39,0,12,6,5,31,02,11,0,2,3,11,36,03,33,1,8,8,6,33,02,10,1,6,7,10,27,03,27,1,4,2,4,37,02,17,0,8,15,10,37,03,31,1,8,10,11,30,02,10,0,6,5,10,47,03,25,1,4,9,10,33,02,13,1,39,4,7,50,03,24,0,10,4,11,22,02,9,1,16,4,10,38,03,30,0,13,5,8,25,02,13,0,8,4,21,53,03,47,0,4,3,9,29,02,12,0,10,3,6,13,02,37,0,2,4,7,29,02,14
2020020415,2021-03-11,1,0,0,0,1,1,1,1,C,13014,0,837,0,0,163,6,1072,0,832,0,0,168,5,1133,1,679,1,0,121,2,858,0,1009,0,0,103,1,1144,0,819,0,0,13,0,970,0,636,1,0,210,5,895,0,907,0,0,118,4,1050,1,719,0,0,171,1,924,0,914,0,0,166,3,1251,1,893,1,0,91,2,1023,0,10,7,7,33,03,39,0,12,6,5,31,02,11,0,2,3,11,36,03,33,1,8,8,6,33,02,10,1,6,7,10,27,03,27,1,4,2,4,37,02,17,0,8,15,10,37,03,31,1,8,10,11,30,02,10,0,6,5,10,47,03,25,1,4,9,10,33,02,13,1,39,4,7,50,03,24,0,10,4,11,22,02,9,1,16,4,10,38,03,30,0,13,5,8,25,02,13,0,8,4,21,53,03,47,0,4,3,9,29,02,12,0,10,3,6,13,02,37,0,2,4,7,29,02,14,0,13,5,6,15,02,28,1,8,9,9,26,02,17
2020020401,2021-03-09,0,1,1,1,0,0,0,6,C,13012,0,832,0,0,168,5,1133,1,679,1,0,121,2,858,0,1009,0,0,103,1,1144,0,819,0,0,13,0,970,0,636,1,0,210,5,895,0,907,0,0,118,4,1050,1,719,0,0,171,1,924,0,914,0,0,166,3,1251,1,893,1,0,91,2,1023,0,644,0,0,360,6,1277,0,2,3,11,36,03,33,1,8,8,6,33,02,10,1,6,7,10,27,03,27,1,4,2,4,37,02,17,0,8,15,10,37,03,31,1,8,10,11,30,02,10,0,6,5,10,47,03,25,1,4,9,10,33,02,13,1,39,4,7,50,03,24,0,10,4,11,22,02,9,1,16,4,10,38,03,30,0,13,5,8,25,02,13,0,8,4,21,53,03,47,0,4,3,9,29,02,12,0,10,3,6,13,02,37,0,2,4,7,29,02,14,0,13,5,6,15,02,28,1,8,9,9,26,02,17,0,12,2,10,26,02,27,1,10,5,2,31,02,10
2020020244,2021-03-07,1,1,1,1,0,0,0,5,C,13010,1,679,1,0,121,2,858,0,1009,0,0,103,1,1144,0,819,0,0,13,0,970,0,636,1,0,210,5,895,0,907,0,0,118,4,1050,1,719,0,0,171,1,924,0,914,0,0,166,3,1251,1,893,1,0,91,2,1023,0,644,0,0,360,6,1277,1,938,0,0,154,2,1166,1,6,7,10,27,03,27,1,4,2,4,37,02,17,0,8,15,10,37,03,31,1,8,10,11,30,02,10,0,6,5,10,47,03,25,1,4,9,10,33,02,13,1,39,4,7,50,03,24,0,10,4,11,22,02,9,1,16,4,10,38,03,30,0,13,5,8,25,02,13,0,8,4,21,53,03,47,0,4,3,9,29,02,12,0,10,3,6,13,02,37,0,2,4,7,29,02,14,0,13,5,6,15,02,28,1,8,9,9,26,02,17,0,12,2,10,26,02,27,1,10,5,2,31,02,10,1,10,8,5,24,02,43,1,21,18,11,24,02,15
2020020373,2021-03-05,1,0,0,1,0,1,1,2,C,13008,0,1009,0,0,103,1,1144,0,819,0,0,13,0,970,0,636,1,0,210,5,895,0,907,0,0,118,4,1050,1,719,0,0,171,1,924,0,914,0,0,166,3,1251,1,893,1,0,91,2,1023,0,644,0,0,360,6,1277,1,938,0,0,154,2,1166,0,874,0,0,118,1,1190,0,8,15,10,37,03,31,1,8,10,11,30,02,10,0,6,5,10,47,03,25,1,4,9,10,33,02,13,1,39,4,7,50,03,24,0,10,4,11,22,02,9,1,16,4,10,38,03,30,0,13,5,8,25,02,13,0,8,4,21,53,03,47,0,4,3,9,29,02,12,0,10,3,6,13,02,37,0,2,4,7,29,02,14,0,13,5,6,15,02,28,1,8,9,9,26,02,17,0,12,2,10,26,02,27,1,10,5,2,31,02,10,1,10,8,5,24,02,43,1,21,18,11,24,02,15,1,4,9,4,26,02,26,1,2,19,10,30,02,18
2020020359,2021-03-03,1,0,0,0,1,1,1,1,C,13006,0,819,0,0,13,0,970,0,636,1,0,210,5,895,0,907,0,0,118,4,1050,1,719,0,0,171,1,924,0,914,0,0,166,3,1251,1,893,1,0,91,2,1023,0,644,0,0,360,6,1277,1,938,0,0,154,2,1166,0,874,0,0,118,1,1190,3,825,1,0,265,3,1192,0,6,5,10,47,03,25,1,4,9,10,33,02,13,1,39,4,7,50,03,24,0,10,4,11,22,02,9,1,16,4,10,38,03,30,0,13,5,8,25,02,13,0,8,4,21,53,03,47,0,4,3,9,29,02,12,0,10,3,6,13,02,37,0,2,4,7,29,02,14,0,13,5,6,15,02,28,1,8,9,9,26,02,17,0,12,2,10,26,02,27,1,10,5,2,31,02,10,1,10,8,5,24,02,43,1,21,18,11,24,02,15,1,4,9,4,26,02,26,1,2,19,10,30,02,18,1,12,9,7,26,02,36,0,4,8,4,15,02,13
2020020342,2021-02-28,0,0,0,0,1,1,1,0,C,13003,0,636,1,0,210,5,895,0,907,0,0,118,4,1050,1,719,0,0,171,1,924,0,914,0,0,166,3,1251,1,893,1,0,91,2,1023,0,644,0,0,360,6,1277,1,938,0,0,154,2,1166,0,874,0,0,118,1,1190,3,825,1,0,265,3,1192,0,755,0,0,311,3,1232,1,39,4,7,50,03,24,0,10,4,11,22,02,9,1,16,4,10,38,03,30,0,13,5,8,25,02,13,0,8,4,21,53,03,47,0,4,3,9,29,02,12,0,10,3,6,13,02,37,0,2,4,7,29,02,14,0,13,5,6,15,02,28,1,8,9,9,26,02,17,0,12,2,10,26,02,27,1,10,5,2,31,02,10,1,10,8,5,24,02,43,1,21,18,11,24,02,15,1,4,9,4,26,02,26,1,2,19,10,30,02,18,1,12,9,7,26,02,36,0,4,8,4,15,02,13,1,6,11,10,20,02,20,0,6,10,5,21,02,17
