game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020466,2021-03-17,0,1,1,1,0,0,0,5,L,10820,0,1041,0,4,26,3,1129,0,1004,1,0,236,7,1397,1,880,1,0,128,4,1046,0,1185,1,0,98,2,1398,0,981,0,0,81,4,1132,1,849,0,0,327,3,1392,0,887,0,0,188,1,1240,2,842,1,0,205,5,1188,0,1010,2,2,343,6,1389,1,780,0,0,249,4,1126,0,10,7,5,23,02,34,0,8,0,7,30,03,7,0,6,5,5,8,02,26,0,14,9,6,27,03,23,0,10,2,1,12,02,38,1,4,6,16,35,03,18,0,8,4,2,7,02,29,1,4,7,18,38,03,27,0,12,3,2,15,02,36,0,8,11,12,32,03,15,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22
2020020455,2021-03-15,0,0,1,1,0,0,1,3,L,10818,0,1004,1,0,236,7,1397,1,880,1,0,128,4,1046,0,1185,1,0,98,2,1398,0,981,0,0,81,4,1132,1,849,0,0,327,3,1392,0,887,0,0,188,1,1240,2,842,1,0,205,5,1188,0,1010,2,2,343,6,1389,1,780,0,0,249,4,1126,1,1158,1,0,0,5,1287,0,6,5,5,8,02,26,0,14,9,6,27,03,23,0,10,2,1,12,02,38,1,4,6,16,35,03,18,0,8,4,2,7,02,29,1,4,7,18,38,03,27,0,12,3,2,15,02,36,0,8,11,12,32,03,15,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16
2020020441,2021-03-13,0,1,1,1,0,0,0,7,L,10816,1,880,1,0,128,4,1046,0,1185,1,0,98,2,1398,0,981,0,0,81,4,1132,1,849,0,0,327,3,1392,0,887,0,0,188,1,1240,2,842,1,0,205,5,1188,0,1010,2,2,343,6,1389,1,780,0,0,249,4,1126,1,1158,1,0,0,5,1287,0,901,0,0,44,3,999,0,10,2,1,12,02,38,1,4,6,16,35,03,18,0,8,4,2,7,02,29,1,4,7,18,38,03,27,0,12,3,2,15,02,36,0,8,11,12,32,03,15,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13
2020020429,2021-03-12,0,1,1,1,0,0,0,4,L,10815,0,1185,1,0,98,2,1398,0,981,0,0,81,4,1132,1,849,0,0,327,3,1392,0,887,0,0,188,1,1240,2,842,1,0,205,5,1188,0,1010,2,2,343,6,1389,1,780,0,0,249,4,1126,1,1158,1,0,0,5,1287,0,901,0,0,44,3,999,1,1014,0,0,146,2,1217,0,8,4,2,7,02,29,1,4,7,18,38,03,27,0,12,3,2,15,02,36,0,8,11,12,32,03,15,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12
2020020326,2021-03-08,1,0,0,1,0,1,1,2,L,10811,0,981,0,0,81,4,1132,1,849,0,0,327,3,1392,0,887,0,0,188,1,1240,2,842,1,0,205,5,1188,0,1010,2,2,343,6,1389,1,780,0,0,249,4,1126,1,1158,1,0,0,5,1287,0,901,0,0,44,3,999,1,1014,0,0,146,2,1217,0,918,0,6,186,3,1174,0,12,3,2,15,02,36,0,8,11,12,32,03,15,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15
2020020389,2021-03-06,1,1,1,1,0,0,0,4,L,10809,1,849,0,0,327,3,1392,0,887,0,0,188,1,1240,2,842,1,0,205,5,1188,0,1010,2,2,343,6,1389,1,780,0,0,249,4,1126,1,1158,1,0,0,5,1287,0,901,0,0,44,3,999,1,1014,0,0,146,2,1217,0,918,0,6,186,3,1174,0,981,0,2,24,2,1017,0,10,8,6,14,02,30,0,6,8,13,40,03,12,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15,0,8,13,6,17,02,27,1,4,7,22,47,03,18
2020020380,2021-03-05,1,0,1,1,0,0,1,3,L,10808,0,887,0,0,188,1,1240,2,842,1,0,205,5,1188,0,1010,2,2,343,6,1389,1,780,0,0,249,4,1126,1,1158,1,0,0,5,1287,0,901,0,0,44,3,999,1,1014,0,0,146,2,1217,0,918,0,6,186,3,1174,0,981,0,2,24,2,1017,0,1115,1,0,41,5,1256,0,8,4,1,15,02,21,1,2,5,18,39,03,18,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15,0,8,13,6,17,02,27,1,4,7,22,47,03,18,1,11,8,6,21,02,33,1,4,8,10,55,03,11
2020020363,2021-03-03,1,0,0,0,1,1,1,1,L,10806,2,842,1,0,205,5,1188,0,1010,2,2,343,6,1389,1,780,0,0,249,4,1126,1,1158,1,0,0,5,1287,0,901,0,0,44,3,999,1,1014,0,0,146,2,1217,0,918,0,6,186,3,1174,0,981,0,2,24,2,1017,0,1115,1,0,41,5,1256,1,1065,0,0,75,1,1220,0,6,4,12,31,02,30,1,2,5,21,54,03,25,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15,0,8,13,6,17,02,27,1,4,7,22,47,03,18,1,11,8,6,21,02,33,1,4,8,10,55,03,11,1,6,10,8,19,02,40,0,2,6,12,42,03,16
2020020353,2021-03-01,1,1,1,1,0,0,0,5,L,10804,0,1010,2,2,343,6,1389,1,780,0,0,249,4,1126,1,1158,1,0,0,5,1287,0,901,0,0,44,3,999,1,1014,0,0,146,2,1217,0,918,0,6,186,3,1174,0,981,0,2,24,2,1017,0,1115,1,0,41,5,1256,1,1065,0,0,75,1,1220,1,958,1,0,159,5,1151,0,10,6,14,31,02,27,1,12,8,15,38,03,15,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15,0,8,13,6,17,02,27,1,4,7,22,47,03,18,1,11,8,6,21,02,33,1,4,8,10,55,03,11,1,6,10,8,19,02,40,0,2,6,12,42,03,16,1,10,11,8,13,02,27,0,8,7,22,31,03,14
2020020339,2021-02-27,1,1,1,1,0,0,0,6,L,10802,1,780,0,0,249,4,1126,1,1158,1,0,0,5,1287,0,901,0,0,44,3,999,1,1014,0,0,146,2,1217,0,918,0,6,186,3,1174,0,981,0,2,24,2,1017,0,1115,1,0,41,5,1256,1,1065,0,0,75,1,1220,1,958,1,0,159,5,1151,0,682,0,2,147,1,859,0,8,0,3,20,02,40,0,10,5,24,39,03,22,0,14,3,5,23,02,31,0,10,15,21,39,03,16,1,14,9,7,27,02,25,1,10,1,15,31,03,13,1,2,10,9,18,02,29,0,20,2,14,43,03,12,0,8,2,18,31,02,32,1,16,9,11,45,03,15,0,8,13,6,17,02,27,1,4,7,22,47,03,18,1,11,8,6,21,02,33,1,4,8,10,55,03,11,1,6,10,8,19,02,40,0,2,6,12,42,03,16,1,10,11,8,13,02,27,0,8,7,22,31,03,14,1,14,8,15,15,02,26,1,12,7,17,47,03,22
