game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020465,2021-03-17,1,1,1,1,0,0,0,8,C,9602,1,778,1,0,162,1,1056,1,807,0,0,144,2,1032,0,709,0,0,216,1,1023,1,823,0,0,523,0,1488,2,844,0,0,214,1,1188,1,725,0,0,82,0,1080,0,1006,0,0,183,1,1244,0,646,1,2,269,2,1168,0,1149,0,0,0,0,1149,1,967,0,0,128,3,1343,1,14,6,16,39,03,30,1,10,3,11,18,03,16,0,4,6,12,21,03,32,0,6,6,12,19,03,24,0,9,7,24,30,03,34,0,13,6,17,20,03,15,0,9,13,17,34,03,26,1,4,2,14,22,03,16,0,8,3,9,44,03,26,1,11,5,9,14,02,17,1,8,7,7,37,03,23,0,22,4,6,12,02,10,1,14,8,20,38,03,40,0,10,5,8,15,02,6,0,4,8,21,45,03,29,1,10,10,12,25,02,10,1,4,4,14,50,03,41,1,6,2,9,20,02,6,0,10,5,11,22,02,26,1,4,9,17,26,02,15
2020020454,2021-03-15,1,0,0,0,1,1,1,1,C,9600,1,807,0,0,144,2,1032,0,709,0,0,216,1,1023,1,823,0,0,523,0,1488,2,844,0,0,214,1,1188,1,725,0,0,82,0,1080,0,1006,0,0,183,1,1244,0,646,1,2,269,2,1168,0,1149,0,0,0,0,1149,1,967,0,0,128,3,1343,0,858,0,2,359,2,1652,0,4,6,12,21,03,32,0,6,6,12,19,03,24,0,9,7,24,30,03,34,0,13,6,17,20,03,15,0,9,13,17,34,03,26,1,4,2,14,22,03,16,0,8,3,9,44,03,26,1,11,5,9,14,02,17,1,8,7,7,37,03,23,0,22,4,6,12,02,10,1,14,8,20,38,03,40,0,10,5,8,15,02,6,0,4,8,21,45,03,29,1,10,10,12,25,02,10,1,4,4,14,50,03,41,1,6,2,9,20,02,6,0,10,5,11,22,02,26,1,4,9,17,26,02,15,1,8,8,7,16,02,35,0,14,8,20,24,02,14
2020020439,2021-03-13,1,0,0,1,0,1,1,2,C,9598,0,709,0,0,216,1,1023,1,823,0,0,523,0,1488,2,844,0,0,214,1,1188,1,725,0,0,82,0,1080,0,1006,0,0,183,1,1244,0,646,1,2,269,2,1168,0,1149,0,0,0,0,1149,1,967,0,0,128,3,1343,0,858,0,2,359,2,1652,1,622,0,2,375,5,1207,0,9,7,24,30,03,34,0,13,6,17,20,03,15,0,9,13,17,34,03,26,1,4,2,14,22,03,16,0,8,3,9,44,03,26,1,11,5,9,14,02,17,1,8,7,7,37,03,23,0,22,4,6,12,02,10,1,14,8,20,38,03,40,0,10,5,8,15,02,6,0,4,8,21,45,03,29,1,10,10,12,25,02,10,1,4,4,14,50,03,41,1,6,2,9,20,02,6,0,10,5,11,22,02,26,1,4,9,17,26,02,15,1,8,8,7,16,02,35,0,14,8,20,24,02,14,1,8,5,17,10,02,32,0,4,8,8,17,02,16
2020020423,2021-03-11,1,0,0,0,1,1,1,1,C,9596,1,823,0,0,523,0,1488,2,844,0,0,214,1,1188,1,725,0,0,82,0,1080,0,1006,0,0,183,1,1244,0,646,1,2,269,2,1168,0,1149,0,0,0,0,1149,1,967,0,0,128,3,1343,0,858,0,2,359,2,1652,1,622,0,2,375,5,1207,0,1110,0,0,239,2,1450,0,9,13,17,34,03,26,1,4,2,14,22,03,16,0,8,3,9,44,03,26,1,11,5,9,14,02,17,1,8,7,7,37,03,23,0,22,4,6,12,02,10,1,14,8,20,38,03,40,0,10,5,8,15,02,6,0,4,8,21,45,03,29,1,10,10,12,25,02,10,1,4,4,14,50,03,41,1,6,2,9,20,02,6,0,10,5,11,22,02,26,1,4,9,17,26,02,15,1,8,8,7,16,02,35,0,14,8,20,24,02,14,1,8,5,17,10,02,32,0,4,8,8,17,02,16,1,8,7,12,13,02,33,1,11,2,6,15,02,6
2020020395,2021-03-07,1,0,0,0,1,1,1,0,C,9592,2,844,0,0,214,1,1188,1,725,0,0,82,0,1080,0,1006,0,0,183,1,1244,0,646,1,2,269,2,1168,0,1149,0,0,0,0,1149,1,967,0,0,128,3,1343,0,858,0,2,359,2,1652,1,622,0,2,375,5,1207,0,1110,0,0,239,2,1450,0,940,0,0,148,1,1157,0,8,3,9,44,03,26,1,11,5,9,14,02,17,1,8,7,7,37,03,23,0,22,4,6,12,02,10,1,14,8,20,38,03,40,0,10,5,8,15,02,6,0,4,8,21,45,03,29,1,10,10,12,25,02,10,1,4,4,14,50,03,41,1,6,2,9,20,02,6,0,10,5,11,22,02,26,1,4,9,17,26,02,15,1,8,8,7,16,02,35,0,14,8,20,24,02,14,1,8,5,17,10,02,32,0,4,8,8,17,02,16,1,8,7,12,13,02,33,1,11,2,6,15,02,6,1,4,10,10,17,02,26,1,8,10,21,16,02,15
2020020383,2021-03-06,0,0,0,0,1,1,1,1,C,9591,1,725,0,0,82,0,1080,0,1006,0,0,183,1,1244,0,646,1,2,269,2,1168,0,1149,0,0,0,0,1149,1,967,0,0,128,3,1343,0,858,0,2,359,2,1652,1,622,0,2,375,5,1207,0,1110,0,0,239,2,1450,0,940,0,0,148,1,1157,1,720,1,2,244,2,1239,1,8,7,7,37,03,23,0,22,4,6,12,02,10,1,14,8,20,38,03,40,0,10,5,8,15,02,6,0,4,8,21,45,03,29,1,10,10,12,25,02,10,1,4,4,14,50,03,41,1,6,2,9,20,02,6,0,10,5,11,22,02,26,1,4,9,17,26,02,15,1,8,8,7,16,02,35,0,14,8,20,24,02,14,1,8,5,17,10,02,32,0,4,8,8,17,02,16,1,8,7,12,13,02,33,1,11,2,6,15,02,6,1,4,10,10,17,02,26,1,8,10,21,16,02,15,0,13,5,9,26,02,25,1,8,6,13,21,02,12
2020020370,2021-03-04,1,0,0,0,1,1,1,0,C,9589,0,1006,0,0,183,1,1244,0,646,1,2,269,2,1168,0,1149,0,0,0,0,1149,1,967,0,0,128,3,1343,0,858,0,2,359,2,1652,1,622,0,2,375,5,1207,0,1110,0,0,239,2,1450,0,940,0,0,148,1,1157,1,720,1,2,244,2,1239,0,1066,0,0,224,2,1331,1,14,8,20,38,03,40,0,10,5,8,15,02,6,0,4,8,21,45,03,29,1,10,10,12,25,02,10,1,4,4,14,50,03,41,1,6,2,9,20,02,6,0,10,5,11,22,02,26,1,4,9,17,26,02,15,1,8,8,7,16,02,35,0,14,8,20,24,02,14,1,8,5,17,10,02,32,0,4,8,8,17,02,16,1,8,7,12,13,02,33,1,11,2,6,15,02,6,1,4,10,10,17,02,26,1,8,10,21,16,02,15,0,13,5,9,26,02,25,1,8,6,13,21,02,12,0,14,6,14,23,02,33,0,8,5,18,19,02,18
2020020349,2021-03-01,0,0,0,0,1,1,1,1,C,9586,0,646,1,2,269,2,1168,0,1149,0,0,0,0,1149,1,967,0,0,128,3,1343,0,858,0,2,359,2,1652,1,622,0,2,375,5,1207,0,1110,0,0,239,2,1450,0,940,0,0,148,1,1157,1,720,1,2,244,2,1239,0,1066,0,0,224,2,1331,1,739,0,0,286,3,1288,0,4,8,21,45,03,29,1,10,10,12,25,02,10,1,4,4,14,50,03,41,1,6,2,9,20,02,6,0,10,5,11,22,02,26,1,4,9,17,26,02,15,1,8,8,7,16,02,35,0,14,8,20,24,02,14,1,8,5,17,10,02,32,0,4,8,8,17,02,16,1,8,7,12,13,02,33,1,11,2,6,15,02,6,1,4,10,10,17,02,26,1,8,10,21,16,02,15,0,13,5,9,26,02,25,1,8,6,13,21,02,12,0,14,6,14,23,02,33,0,8,5,18,19,02,18,0,8,2,10,15,02,28,1,0,5,13,16,02,21
2020020333,2021-02-27,0,0,0,1,0,1,1,2,C,9584,0,1149,0,0,0,0,1149,1,967,0,0,128,3,1343,0,858,0,2,359,2,1652,1,622,0,2,375,5,1207,0,1110,0,0,239,2,1450,0,940,0,0,148,1,1157,1,720,1,2,244,2,1239,0,1066,0,0,224,2,1331,1,739,0,0,286,3,1288,0,974,1,0,124,4,1219,1,4,4,14,50,03,41,1,6,2,9,20,02,6,0,10,5,11,22,02,26,1,4,9,17,26,02,15,1,8,8,7,16,02,35,0,14,8,20,24,02,14,1,8,5,17,10,02,32,0,4,8,8,17,02,16,1,8,7,12,13,02,33,1,11,2,6,15,02,6,1,4,10,10,17,02,26,1,8,10,21,16,02,15,0,13,5,9,26,02,25,1,8,6,13,21,02,12,0,14,6,14,23,02,33,0,8,5,18,19,02,18,0,8,2,10,15,02,28,1,0,5,13,16,02,21,0,4,4,7,15,02,31,1,11,10,18,21,02,17
2020020318,2021-02-25,0,0,0,0,1,1,1,0,C,9582,1,967,0,0,128,3,1343,0,858,0,2,359,2,1652,1,622,0,2,375,5,1207,0,1110,0,0,239,2,1450,0,940,0,0,148,1,1157,1,720,1,2,244,2,1239,0,1066,0,0,224,2,1331,1,739,0,0,286,3,1288,0,974,1,0,124,4,1219,0,907,1,2,140,2,1331,0,10,5,11,22,02,26,1,4,9,17,26,02,15,1,8,8,7,16,02,35,0,14,8,20,24,02,14,1,8,5,17,10,02,32,0,4,8,8,17,02,16,1,8,7,12,13,02,33,1,11,2,6,15,02,6,1,4,10,10,17,02,26,1,8,10,21,16,02,15,0,13,5,9,26,02,25,1,8,6,13,21,02,12,0,14,6,14,23,02,33,0,8,5,18,19,02,18,0,8,2,10,15,02,28,1,0,5,13,16,02,21,0,4,4,7,15,02,31,1,11,10,18,21,02,17,0,6,3,20,15,02,24,1,6,7,18,13,02,14
