game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020466,2021-03-17,1,0,1,1,0,0,1,3,C,10295,0,896,0,0,135,2,1057,1,848,0,0,67,0,1155,0,909,0,0,232,3,1275,0,942,0,0,109,1,1128,0,833,0,0,180,0,1079,0,835,0,0,124,3,991,1,670,0,0,250,0,1083,1,883,1,0,81,2,1110,0,1035,0,0,101,3,1136,0,886,2,0,171,3,1128,0,8,0,7,30,03,38,1,12,2,16,18,02,14,0,14,9,6,27,03,26,1,12,2,12,18,02,12,1,4,6,16,35,03,34,1,8,3,8,15,02,19,1,4,7,18,38,03,39,0,4,1,4,10,02,3,0,8,11,12,32,03,26,0,6,5,18,17,02,12,0,6,8,13,40,03,49,0,6,5,7,8,02,18,1,2,5,18,39,03,39,0,15,4,5,9,02,7,1,2,5,21,54,03,39,1,7,4,13,22,02,11,1,12,8,15,38,03,40,1,4,3,7,26,02,16,0,10,5,24,39,03,34,1,6,0,5,15,02,9
2020020455,2021-03-15,1,0,0,1,0,1,1,2,C,10293,1,848,0,0,67,0,1155,0,909,0,0,232,3,1275,0,942,0,0,109,1,1128,0,833,0,0,180,0,1079,0,835,0,0,124,3,991,1,670,0,0,250,0,1083,1,883,1,0,81,2,1110,0,1035,0,0,101,3,1136,0,886,2,0,171,3,1128,2,894,0,0,158,2,1089,0,14,9,6,27,03,26,1,12,2,12,18,02,12,1,4,6,16,35,03,34,1,8,3,8,15,02,19,1,4,7,18,38,03,39,0,4,1,4,10,02,3,0,8,11,12,32,03,26,0,6,5,18,17,02,12,0,6,8,13,40,03,49,0,6,5,7,8,02,18,1,2,5,18,39,03,39,0,15,4,5,9,02,7,1,2,5,21,54,03,39,1,7,4,13,22,02,11,1,12,8,15,38,03,40,1,4,3,7,26,02,16,0,10,5,24,39,03,34,1,6,0,5,15,02,9,0,10,15,21,39,03,33,1,6,2,4,15,02,12
2020020437,2021-03-13,0,0,0,0,1,1,1,0,C,10291,0,909,0,0,232,3,1275,0,942,0,0,109,1,1128,0,833,0,0,180,0,1079,0,835,0,0,124,3,991,1,670,0,0,250,0,1083,1,883,1,0,81,2,1110,0,1035,0,0,101,3,1136,0,886,2,0,171,3,1128,2,894,0,0,158,2,1089,0,837,0,0,186,1,1229,1,4,6,16,35,03,34,1,8,3,8,15,02,19,1,4,7,18,38,03,39,0,4,1,4,10,02,3,0,8,11,12,32,03,26,0,6,5,18,17,02,12,0,6,8,13,40,03,49,0,6,5,7,8,02,18,1,2,5,18,39,03,39,0,15,4,5,9,02,7,1,2,5,21,54,03,39,1,7,4,13,22,02,11,1,12,8,15,38,03,40,1,4,3,7,26,02,16,0,10,5,24,39,03,34,1,6,0,5,15,02,9,0,10,15,21,39,03,33,1,6,2,4,15,02,12,1,10,1,15,31,03,43,0,6,0,5,18,02,10
2020020425,2021-03-12,0,0,1,1,0,0,1,3,C,10290,0,942,0,0,109,1,1128,0,833,0,0,180,0,1079,0,835,0,0,124,3,991,1,670,0,0,250,0,1083,1,883,1,0,81,2,1110,0,1035,0,0,101,3,1136,0,886,2,0,171,3,1128,2,894,0,0,158,2,1089,0,837,0,0,186,1,1229,2,821,0,0,80,2,1050,1,4,7,18,38,03,39,0,4,1,4,10,02,3,0,8,11,12,32,03,26,0,6,5,18,17,02,12,0,6,8,13,40,03,49,0,6,5,7,8,02,18,1,2,5,18,39,03,39,0,15,4,5,9,02,7,1,2,5,21,54,03,39,1,7,4,13,22,02,11,1,12,8,15,38,03,40,1,4,3,7,26,02,16,0,10,5,24,39,03,34,1,6,0,5,15,02,9,0,10,15,21,39,03,33,1,6,2,4,15,02,12,1,10,1,15,31,03,43,0,6,0,5,18,02,10,0,20,2,14,43,03,48,0,8,2,6,26,02,20
2020020412,2021-03-10,0,0,0,0,1,1,1,1,C,10288,0,833,0,0,180,0,1079,0,835,0,0,124,3,991,1,670,0,0,250,0,1083,1,883,1,0,81,2,1110,0,1035,0,0,101,3,1136,0,886,2,0,171,3,1128,2,894,0,0,158,2,1089,0,837,0,0,186,1,1229,2,821,0,0,80,2,1050,0,877,0,0,194,0,1101,0,8,11,12,32,03,26,0,6,5,18,17,02,12,0,6,8,13,40,03,49,0,6,5,7,8,02,18,1,2,5,18,39,03,39,0,15,4,5,9,02,7,1,2,5,21,54,03,39,1,7,4,13,22,02,11,1,12,8,15,38,03,40,1,4,3,7,26,02,16,0,10,5,24,39,03,34,1,6,0,5,15,02,9,0,10,15,21,39,03,33,1,6,2,4,15,02,12,1,10,1,15,31,03,43,0,6,0,5,18,02,10,0,20,2,14,43,03,48,0,8,2,6,26,02,20,1,16,9,11,45,03,36,0,2,10,20,20,02,10
2020020398,2021-03-08,0,0,0,0,1,1,1,0,C,10286,0,835,0,0,124,3,991,1,670,0,0,250,0,1083,1,883,1,0,81,2,1110,0,1035,0,0,101,3,1136,0,886,2,0,171,3,1128,2,894,0,0,158,2,1089,0,837,0,0,186,1,1229,2,821,0,0,80,2,1050,0,877,0,0,194,0,1101,1,707,0,0,233,1,1081,0,6,8,13,40,03,49,0,6,5,7,8,02,18,1,2,5,18,39,03,39,0,15,4,5,9,02,7,1,2,5,21,54,03,39,1,7,4,13,22,02,11,1,12,8,15,38,03,40,1,4,3,7,26,02,16,0,10,5,24,39,03,34,1,6,0,5,15,02,9,0,10,15,21,39,03,33,1,6,2,4,15,02,12,1,10,1,15,31,03,43,0,6,0,5,18,02,10,0,20,2,14,43,03,48,0,8,2,6,26,02,20,1,16,9,11,45,03,36,0,2,10,20,20,02,10,1,4,7,22,47,03,25,0,8,3,12,23,02,8
2020020389,2021-03-06,0,0,1,1,0,0,1,3,C,10284,1,670,0,0,250,0,1083,1,883,1,0,81,2,1110,0,1035,0,0,101,3,1136,0,886,2,0,171,3,1128,2,894,0,0,158,2,1089,0,837,0,0,186,1,1229,2,821,0,0,80,2,1050,0,877,0,0,194,0,1101,1,707,0,0,233,1,1081,0,910,0,0,114,1,1141,1,2,5,18,39,03,39,0,15,4,5,9,02,7,1,2,5,21,54,03,39,1,7,4,13,22,02,11,1,12,8,15,38,03,40,1,4,3,7,26,02,16,0,10,5,24,39,03,34,1,6,0,5,15,02,9,0,10,15,21,39,03,33,1,6,2,4,15,02,12,1,10,1,15,31,03,43,0,6,0,5,18,02,10,0,20,2,14,43,03,48,0,8,2,6,26,02,20,1,16,9,11,45,03,36,0,2,10,20,20,02,10,1,4,7,22,47,03,25,0,8,3,12,23,02,8,1,4,8,10,55,03,32,0,6,3,4,14,02,10
2020020380,2021-03-05,0,0,0,0,1,1,1,0,C,10283,1,883,1,0,81,2,1110,0,1035,0,0,101,3,1136,0,886,2,0,171,3,1128,2,894,0,0,158,2,1089,0,837,0,0,186,1,1229,2,821,0,0,80,2,1050,0,877,0,0,194,0,1101,1,707,0,0,233,1,1081,0,910,0,0,114,1,1141,1,919,0,0,53,0,1080,1,2,5,21,54,03,39,1,7,4,13,22,02,11,1,12,8,15,38,03,40,1,4,3,7,26,02,16,0,10,5,24,39,03,34,1,6,0,5,15,02,9,0,10,15,21,39,03,33,1,6,2,4,15,02,12,1,10,1,15,31,03,43,0,6,0,5,18,02,10,0,20,2,14,43,03,48,0,8,2,6,26,02,20,1,16,9,11,45,03,36,0,2,10,20,20,02,10,1,4,7,22,47,03,25,0,8,3,12,23,02,8,1,4,8,10,55,03,32,0,6,3,4,14,02,10,0,2,6,12,42,03,40,0,6,2,2,20,02,14
2020020361,2021-03-03,1,0,0,1,0,1,1,2,C,10281,0,1035,0,0,101,3,1136,0,886,2,0,171,3,1128,2,894,0,0,158,2,1089,0,837,0,0,186,1,1229,2,821,0,0,80,2,1050,0,877,0,0,194,0,1101,1,707,0,0,233,1,1081,0,910,0,0,114,1,1141,1,919,0,0,53,0,1080,0,750,0,0,120,2,1026,1,12,8,15,38,03,40,1,4,3,7,26,02,16,0,10,5,24,39,03,34,1,6,0,5,15,02,9,0,10,15,21,39,03,33,1,6,2,4,15,02,12,1,10,1,15,31,03,43,0,6,0,5,18,02,10,0,20,2,14,43,03,48,0,8,2,6,26,02,20,1,16,9,11,45,03,36,0,2,10,20,20,02,10,1,4,7,22,47,03,25,0,8,3,12,23,02,8,1,4,8,10,55,03,32,0,6,3,4,14,02,10,0,2,6,12,42,03,40,0,6,2,2,20,02,14,0,8,7,22,31,03,33,1,6,1,9,10,02,6
2020020351,2021-03-01,1,0,1,1,0,0,1,3,C,10279,0,886,2,0,171,3,1128,2,894,0,0,158,2,1089,0,837,0,0,186,1,1229,2,821,0,0,80,2,1050,0,877,0,0,194,0,1101,1,707,0,0,233,1,1081,0,910,0,0,114,1,1141,1,919,0,0,53,0,1080,0,750,0,0,120,2,1026,2,753,1,0,219,4,983,0,10,5,24,39,03,34,1,6,0,5,15,02,9,0,10,15,21,39,03,33,1,6,2,4,15,02,12,1,10,1,15,31,03,43,0,6,0,5,18,02,10,0,20,2,14,43,03,48,0,8,2,6,26,02,20,1,16,9,11,45,03,36,0,2,10,20,20,02,10,1,4,7,22,47,03,25,0,8,3,12,23,02,8,1,4,8,10,55,03,32,0,6,3,4,14,02,10,0,2,6,12,42,03,40,0,6,2,2,20,02,14,0,8,7,22,31,03,33,1,6,1,9,10,02,6,1,12,7,17,47,03,36,1,6,3,1,15,02,13
