game_id,game_date,is_home_game,shots_this_game_O3.5,shots_this_game_O2.5,shots_this_game_O1.5,shots_this_game_U1.5,shots_this_game_U2.5,shots_this_game_U3.5,shots_this_game_total,primary_position,days_old,assists-1-games_back,evenTimeOnIce-1-games_back,goals-1-games_back,penaltyMinutes-1-games_back,powerPlayTimeOnIce-1-games_back,shots-1-games_back,timeOnIce-1-games_back,assists-2-games_back,evenTimeOnIce-2-games_back,goals-2-games_back,penaltyMinutes-2-games_back,powerPlayTimeOnIce-2-games_back,shots-2-games_back,timeOnIce-2-games_back,assists-3-games_back,evenTimeOnIce-3-games_back,goals-3-games_back,penaltyMinutes-3-games_back,powerPlayTimeOnIce-3-games_back,shots-3-games_back,timeOnIce-3-games_back,assists-4-games_back,evenTimeOnIce-4-games_back,goals-4-games_back,penaltyMinutes-4-games_back,powerPlayTimeOnIce-4-games_back,shots-4-games_back,timeOnIce-4-games_back,assists-5-games_back,evenTimeOnIce-5-games_back,goals-5-games_back,penaltyMinutes-5-games_back,powerPlayTimeOnIce-5-games_back,shots-5-games_back,timeOnIce-5-games_back,assists-6-games_back,evenTimeOnIce-6-games_back,goals-6-games_back,penaltyMinutes-6-games_back,powerPlayTimeOnIce-6-games_back,shots-6-games_back,timeOnIce-6-games_back,assists-7-games_back,evenTimeOnIce-7-games_back,goals-7-games_back,penaltyMinutes-7-games_back,powerPlayTimeOnIce-7-games_back,shots-7-games_back,timeOnIce-7-games_back,assists-8-games_back,evenTimeOnIce-8-games_back,goals-8-games_back,penaltyMinutes-8-games_back,powerPlayTimeOnIce-8-games_back,shots-8-games_back,timeOnIce-8-games_back,assists-9-games_back,evenTimeOnIce-9-games_back,goals-9-games_back,penaltyMinutes-9-games_back,powerPlayTimeOnIce-9-games_back,shots-9-games_back,timeOnIce-9-games_back,assists-10-games_back,evenTimeOnIce-10-games_back,goals-10-games_back,penaltyMinutes-10-games_back,powerPlayTimeOnIce-10-games_back,shots-10-games_back,timeOnIce-10-games_back,home-ply-1-games_back,pim-ply-1-games_back,takeaways-ply-1-games_back,giveaways-ply-1-games_back,hits-ply-1-games_back,game_type-ply-1-games_back,shots-ply-1-games_back,home-opp-1-games_back,pim-opp-1-games_back,takeaways-opp-1-games_back,giveaways-opp-1-games_back,hits-opp-1-games_back,game_type-opp-1-games_back,blocked-opp-1-games_back,home-ply-2-games_back,pim-ply-2-games_back,takeaways-ply-2-games_back,giveaways-ply-2-games_back,hits-ply-2-games_back,game_type-ply-2-games_back,shots-ply-2-games_back,home-opp-2-games_back,pim-opp-2-games_back,takeaways-opp-2-games_back,giveaways-opp-2-games_back,hits-opp-2-games_back,game_type-opp-2-games_back,blocked-opp-2-games_back,home-ply-3-games_back,pim-ply-3-games_back,takeaways-ply-3-games_back,giveaways-ply-3-games_back,hits-ply-3-games_back,game_type-ply-3-games_back,shots-ply-3-games_back,home-opp-3-games_back,pim-opp-3-games_back,takeaways-opp-3-games_back,giveaways-opp-3-games_back,hits-opp-3-games_back,game_type-opp-3-games_back,blocked-opp-3-games_back,home-ply-4-games_back,pim-ply-4-games_back,takeaways-ply-4-games_back,giveaways-ply-4-games_back,hits-ply-4-games_back,game_type-ply-4-games_back,shots-ply-4-games_back,home-opp-4-games_back,pim-opp-4-games_back,takeaways-opp-4-games_back,giveaways-opp-4-games_back,hits-opp-4-games_back,game_type-opp-4-games_back,blocked-opp-4-games_back,home-ply-5-games_back,pim-ply-5-games_back,takeaways-ply-5-games_back,giveaways-ply-5-games_back,hits-ply-5-games_back,game_type-ply-5-games_back,shots-ply-5-games_back,home-opp-5-games_back,pim-opp-5-games_back,takeaways-opp-5-games_back,giveaways-opp-5-games_back,hits-opp-5-games_back,game_type-opp-5-games_back,blocked-opp-5-games_back,home-ply-6-games_back,pim-ply-6-games_back,takeaways-ply-6-games_back,giveaways-ply-6-games_back,hits-ply-6-games_back,game_type-ply-6-games_back,shots-ply-6-games_back,home-opp-6-games_back,pim-opp-6-games_back,takeaways-opp-6-games_back,giveaways-opp-6-games_back,hits-opp-6-games_back,game_type-opp-6-games_back,blocked-opp-6-games_back,home-ply-7-games_back,pim-ply-7-games_back,takeaways-ply-7-games_back,giveaways-ply-7-games_back,hits-ply-7-games_back,game_type-ply-7-games_back,shots-ply-7-games_back,home-opp-7-games_back,pim-opp-7-games_back,takeaways-opp-7-games_back,giveaways-opp-7-games_back,hits-opp-7-games_back,game_type-opp-7-games_back,blocked-opp-7-games_back,home-ply-8-games_back,pim-ply-8-games_back,takeaways-ply-8-games_back,giveaways-ply-8-games_back,hits-ply-8-games_back,game_type-ply-8-games_back,shots-ply-8-games_back,home-opp-8-games_back,pim-opp-8-games_back,takeaways-opp-8-games_back,giveaways-opp-8-games_back,hits-opp-8-games_back,game_type-opp-8-games_back,blocked-opp-8-games_back,home-ply-9-games_back,pim-ply-9-games_back,takeaways-ply-9-games_back,giveaways-ply-9-games_back,hits-ply-9-games_back,game_type-ply-9-games_back,shots-ply-9-games_back,home-opp-9-games_back,pim-opp-9-games_back,takeaways-opp-9-games_back,giveaways-opp-9-games_back,hits-opp-9-games_back,game_type-opp-9-games_back,blocked-opp-9-games_back,home-ply-10-games_back,pim-ply-10-games_back,takeaways-ply-10-games_back,giveaways-ply-10-games_back,hits-ply-10-games_back,game_type-ply-10-games_back,shots-ply-10-games_back,home-opp-10-games_back,pim-opp-10-games_back,takeaways-opp-10-games_back,giveaways-opp-10-games_back,hits-opp-10-games_back,game_type-opp-10-games_back,blocked-opp-10-games_back
2020020463,2021-03-17,0,0,0,1,0,1,1,2,C,9478,1,1087,0,2,120,2,1207,0,903,1,0,154,3,1119,0,993,0,0,222,3,1285,1,1195,0,0,221,2,1416,1,1111,1,0,121,4,1232,0,974,1,0,62,2,1036,0,1037,0,0,124,2,1161,0,1045,0,0,149,2,1194,0,850,0,2,412,0,1262,0,881,1,0,172,5,1062,1,14,7,16,19,03,28,1,8,8,14,30,02,21,0,22,6,7,21,03,29,1,10,11,9,26,02,17,0,15,4,8,16,03,31,1,27,4,17,51,02,17,0,16,11,13,18,03,22,0,11,5,9,29,02,14,0,19,9,13,27,03,25,0,10,1,11,19,02,12,1,6,6,14,45,03,41,0,4,9,13,31,02,20,1,14,7,19,31,03,23,0,15,6,16,33,02,13,0,4,8,10,38,03,30,1,6,5,18,26,02,9,1,4,9,13,24,03,25,1,18,5,13,17,02,11,0,16,7,18,45,03,26,1,2,4,8,27,02,6
2020020452,2021-03-15,0,0,0,1,0,1,1,2,C,9476,0,903,1,0,154,3,1119,0,993,0,0,222,3,1285,1,1195,0,0,221,2,1416,1,1111,1,0,121,4,1232,0,974,1,0,62,2,1036,0,1037,0,0,124,2,1161,0,1045,0,0,149,2,1194,0,850,0,2,412,0,1262,0,881,1,0,172,5,1062,0,955,0,0,379,4,1334,0,22,6,7,21,03,29,1,10,11,9,26,02,17,0,15,4,8,16,03,31,1,27,4,17,51,02,17,0,16,11,13,18,03,22,0,11,5,9,29,02,14,0,19,9,13,27,03,25,0,10,1,11,19,02,12,1,6,6,14,45,03,41,0,4,9,13,31,02,20,1,14,7,19,31,03,23,0,15,6,16,33,02,13,0,4,8,10,38,03,30,1,6,5,18,26,02,9,1,4,9,13,24,03,25,1,18,5,13,17,02,11,0,16,7,18,45,03,26,1,2,4,8,27,02,6,0,10,4,16,31,03,27,0,4,4,9,22,02,10
2020020440,2021-03-13,1,0,1,1,0,0,1,3,C,9474,0,993,0,0,222,3,1285,1,1195,0,0,221,2,1416,1,1111,1,0,121,4,1232,0,974,1,0,62,2,1036,0,1037,0,0,124,2,1161,0,1045,0,0,149,2,1194,0,850,0,2,412,0,1262,0,881,1,0,172,5,1062,0,955,0,0,379,4,1334,0,1041,0,0,136,2,1192,0,15,4,8,16,03,31,1,27,4,17,51,02,17,0,16,11,13,18,03,22,0,11,5,9,29,02,14,0,19,9,13,27,03,25,0,10,1,11,19,02,12,1,6,6,14,45,03,41,0,4,9,13,31,02,20,1,14,7,19,31,03,23,0,15,6,16,33,02,13,0,4,8,10,38,03,30,1,6,5,18,26,02,9,1,4,9,13,24,03,25,1,18,5,13,17,02,11,0,16,7,18,45,03,26,1,2,4,8,27,02,6,0,10,4,16,31,03,27,0,4,4,9,22,02,10,1,18,5,17,30,03,31,0,2,4,16,17,02,23
2020020411,2021-03-10,1,0,1,1,0,0,1,3,C,9471,1,1195,0,0,221,2,1416,1,1111,1,0,121,4,1232,0,974,1,0,62,2,1036,0,1037,0,0,124,2,1161,0,1045,0,0,149,2,1194,0,850,0,2,412,0,1262,0,881,1,0,172,5,1062,0,955,0,0,379,4,1334,0,1041,0,0,136,2,1192,1,881,1,0,78,3,959,0,16,11,13,18,03,22,0,11,5,9,29,02,14,0,19,9,13,27,03,25,0,10,1,11,19,02,12,1,6,6,14,45,03,41,0,4,9,13,31,02,20,1,14,7,19,31,03,23,0,15,6,16,33,02,13,0,4,8,10,38,03,30,1,6,5,18,26,02,9,1,4,9,13,24,03,25,1,18,5,13,17,02,11,0,16,7,18,45,03,26,1,2,4,8,27,02,6,0,10,4,16,31,03,27,0,4,4,9,22,02,10,1,18,5,17,30,03,31,0,2,4,16,17,02,23,1,4,16,26,47,03,31,0,9,9,6,25,02,10
2020020397,2021-03-08,1,0,0,1,0,1,1,2,C,9469,1,1111,1,0,121,4,1232,0,974,1,0,62,2,1036,0,1037,0,0,124,2,1161,0,1045,0,0,149,2,1194,0,850,0,2,412,0,1262,0,881,1,0,172,5,1062,0,955,0,0,379,4,1334,0,1041,0,0,136,2,1192,1,881,1,0,78,3,959,0,784,1,0,404,4,1194,0,19,9,13,27,03,25,0,10,1,11,19,02,12,1,6,6,14,45,03,41,0,4,9,13,31,02,20,1,14,7,19,31,03,23,0,15,6,16,33,02,13,0,4,8,10,38,03,30,1,6,5,18,26,02,9,1,4,9,13,24,03,25,1,18,5,13,17,02,11,0,16,7,18,45,03,26,1,2,4,8,27,02,6,0,10,4,16,31,03,27,0,4,4,9,22,02,10,1,18,5,17,30,03,31,0,2,4,16,17,02,23,1,4,16,26,47,03,31,0,9,9,6,25,02,10,0,8,9,22,38,03,17,0,6,6,8,30,02,5
2020020384,2021-03-06,1,1,1,1,0,0,0,4,C,9467,0,974,1,0,62,2,1036,0,1037,0,0,124,2,1161,0,1045,0,0,149,2,1194,0,850,0,2,412,0,1262,0,881,1,0,172,5,1062,0,955,0,0,379,4,1334,0,1041,0,0,136,2,1192,1,881,1,0,78,3,959,0,784,1,0,404,4,1194,0,969,0,0,86,4,1056,1,6,6,14,45,03,41,0,4,9,13,31,02,20,1,14,7,19,31,03,23,0,15,6,16,33,02,13,0,4,8,10,38,03,30,1,6,5,18,26,02,9,1,4,9,13,24,03,25,1,18,5,13,17,02,11,0,16,7,18,45,03,26,1,2,4,8,27,02,6,0,10,4,16,31,03,27,0,4,4,9,22,02,10,1,18,5,17,30,03,31,0,2,4,16,17,02,23,1,4,16,26,47,03,31,0,9,9,6,25,02,10,0,8,9,22,38,03,17,0,6,6,8,30,02,5,1,12,7,18,26,03,23,0,6,3,14,40,02,8
2020020371,2021-03-04,1,0,0,1,0,1,1,2,C,9465,0,1037,0,0,124,2,1161,0,1045,0,0,149,2,1194,0,850,0,2,412,0,1262,0,881,1,0,172,5,1062,0,955,0,0,379,4,1334,0,1041,0,0,136,2,1192,1,881,1,0,78,3,959,0,784,1,0,404,4,1194,0,969,0,0,86,4,1056,0,997,0,2,270,1,1267,1,14,7,19,31,03,23,0,15,6,16,33,02,13,0,4,8,10,38,03,30,1,6,5,18,26,02,9,1,4,9,13,24,03,25,1,18,5,13,17,02,11,0,16,7,18,45,03,26,1,2,4,8,27,02,6,0,10,4,16,31,03,27,0,4,4,9,22,02,10,1,18,5,17,30,03,31,0,2,4,16,17,02,23,1,4,16,26,47,03,31,0,9,9,6,25,02,10,0,8,9,22,38,03,17,0,6,6,8,30,02,5,1,12,7,18,26,03,23,0,6,3,14,40,02,8,0,6,8,14,27,03,14,1,8,10,16,27,02,15
2020020358,2021-03-02,0,0,0,1,0,1,1,2,C,9463,0,1045,0,0,149,2,1194,0,850,0,2,412,0,1262,0,881,1,0,172,5,1062,0,955,0,0,379,4,1334,0,1041,0,0,136,2,1192,1,881,1,0,78,3,959,0,784,1,0,404,4,1194,0,969,0,0,86,4,1056,0,997,0,2,270,1,1267,0,919,0,0,296,2,1215,0,4,8,10,38,03,30,1,6,5,18,26,02,9,1,4,9,13,24,03,25,1,18,5,13,17,02,11,0,16,7,18,45,03,26,1,2,4,8,27,02,6,0,10,4,16,31,03,27,0,4,4,9,22,02,10,1,18,5,17,30,03,31,0,2,4,16,17,02,23,1,4,16,26,47,03,31,0,9,9,6,25,02,10,0,8,9,22,38,03,17,0,6,6,8,30,02,5,1,12,7,18,26,03,23,0,6,3,14,40,02,8,0,6,8,14,27,03,14,1,8,10,16,27,02,15,0,8,5,6,19,02,35,1,11,10,6,30,02,14
2020020345,2021-03-01,0,0,0,1,0,1,1,2,C,9462,0,850,0,2,412,0,1262,0,881,1,0,172,5,1062,0,955,0,0,379,4,1334,0,1041,0,0,136,2,1192,1,881,1,0,78,3,959,0,784,1,0,404,4,1194,0,969,0,0,86,4,1056,0,997,0,2,270,1,1267,0,919,0,0,296,2,1215,0,721,0,0,368,1,1089,1,4,9,13,24,03,25,1,18,5,13,17,02,11,0,16,7,18,45,03,26,1,2,4,8,27,02,6,0,10,4,16,31,03,27,0,4,4,9,22,02,10,1,18,5,17,30,03,31,0,2,4,16,17,02,23,1,4,16,26,47,03,31,0,9,9,6,25,02,10,0,8,9,22,38,03,17,0,6,6,8,30,02,5,1,12,7,18,26,03,23,0,6,3,14,40,02,8,0,6,8,14,27,03,14,1,8,10,16,27,02,15,0,8,5,6,19,02,35,1,11,10,6,30,02,14,0,18,11,11,24,02,40,1,0,12,19,23,02,18
2020020320,2021-02-25,1,0,0,0,1,1,1,0,C,9458,0,881,1,0,172,5,1062,0,955,0,0,379,4,1334,0,1041,0,0,136,2,1192,1,881,1,0,78,3,959,0,784,1,0,404,4,1194,0,969,0,0,86,4,1056,0,997,0,2,270,1,1267,0,919,0,0,296,2,1215,0,721,0,0,368,1,1089,0,986,1,0,176,1,1168,0,16,7,18,45,03,26,1,2,4,8,27,02,6,0,10,4,16,31,03,27,0,4,4,9,22,02,10,1,18,5,17,30,03,31,0,2,4,16,17,02,23,1,4,16,26,47,03,31,0,9,9,6,25,02,10,0,8,9,22,38,03,17,0,6,6,8,30,02,5,1,12,7,18,26,03,23,0,6,3,14,40,02,8,0,6,8,14,27,03,14,1,8,10,16,27,02,15,0,8,5,6,19,02,35,1,11,10,6,30,02,14,0,18,11,11,24,02,40,1,0,12,19,23,02,18,0,12,7,9,11,02,32,1,15,11,14,23,02,18
